InputID,TargetID,Distance
561,Aden,0.390360380537
562,Elbasan,0.0269085901846
563,Tehran,0.435032933981
564,Mitilini,0.3657873275
566,Mitilini,0.317471008017
567,Incheon,0.361464758506
568,Zenica,0.220885778052
569,Zadar,0.0654367592733
8180,Aden,0.390360380537
570,Neyshabur,0.320642435533
571,Neyshabur,0.341783810792
572,Neyshabur,0.0283123086365
573,Hios,0.387336461821
574,Bukhara,0.0360570506746
575,Zadar,0.0654367592733
576,Delemont,0.148071009577
577,Zadar,0.0654367592733
580,Fasa,1.41865580496
578,Zanjan,0.528091719559
581,Hamah,0.309041371963
5944,Tsu,1.01720224775
582,Aleppo,0.148445661311
583,Neyshabur,0.220931642212
7382,Shizuoka,0.586016861
584,Samandagi,0.134727166036
5945,Tsu,0.993957596482
585,Hatay,0.0363579589837
587,Arezzo,0.228256680154
588,Benevento,0.283512982488
589,Sibenik,0.351263683807
5954,Istanbul,0.23345457085
590,Zabid,0.149634581304
591,Mataro,0.296857235414
593,Nimes,0.433279060189
594,Granada,0.038094356955
5946,Yokohama,0.427586021687
596,Lanzhou,0.510220351147
595,Fasa,0.882024504112
597,Tabriz,0.132839495679
598,Van,0.279619469775
599,Zvolen,0.0900947417601
601,Varna,0.0163364420467
600,Tatvan,0.209929853797
7914,Zhangzhou,0.072920706361
602,Rome,0.118705987618
5947,Nagaoka,0.661900691902
603,Dubrovnik,0.0615526311181
604,Basel,0.0810065019529
605,Basel,0.0810065019529
606,Gunsan,0.23097819951
608,Prizren,0.0580424021851
609,Erzincan,0.0478986523887
611,Salerno,0.389217467471
615,El Arish,0.406440090053
618,El Arish,0.406440090053
616,Erzurum,0.890260784643
620,Zagreb,0.583092158971
621,L'Aquila,0.0513758774409
622,L'Aquila,0.120973240844
8181,Zabid,0.149634581304
624,Seville,0.394250944356
625,Agrinio,0.915856835109
628,Dubrovnik,0.0615526311181
626,Arequipa,0.544898061669
629,Tokmak,0.244948681957
7915,Xichang,0.796498132195
630,Mostar,0.413837830595
635,Rodos,0.494152629875
633,Lijiang,0.473692793129
634,Foggia,0.637733592868
9808,Rodos,0.494152629875
9809,Rodos,0.494152629875
638,Dubrovnik,0.0615526311181
637,Erzurum,0.890260784643
636,Ras al Khaymah,1.00569680307
639,As Sib,1.25204913141
640,Kos,0.725161154132
7916,Changping,0.411275980805
641,Zanjan,0.599048814866
642,Rasht,0.482592349309
643,Xian,0.123224815504
7917,Deyang,0.755703226515
644,Urgut,0.160691619478
645,Kos,0.488299253013
9869,Sligo,0.581620824211
646,Kos,0.28888273545
647,Birjand,0.592337848393
648,Kos,0.303642826778
7918,Zhanyi,0.101834845214
649,Nice,0.275871595946
650,Nice,0.356455296944
6011,Iraklio,0.408843567409
7919,Yinchuan,1.09869190964
651,Yokohama,0.234135217663
652,Sibenik,0.298882310553
6031,Hamamatsu,0.319751782859
5949,Tucupita,0.873141298231
653,Wakayama,0.723837147639
7383,Hamamatsu,0.806550962121
655,Kunming,0.329906784061
656,Kunming,0.455650983078
658,Dali,0.162294441144
657,Iraklio,0.21828844857
660,Zagreb,0.100005331981
661,Puyang,0.320000686988
659,San Pedro de Macoris,0.25024177826
662,Chur,0.701755292815
664,Seville,0.589437658845
665,Dubrovnik,0.0615526311181
667,Kabul,0.0263906302644
7926,Houma,0.521999220069
666,Ljubljana,0.35116940484
7927,Yuxi,0.230873730466
668,Iraklio,0.128679112772
669,Reggio di Calabria,0.0605273185534
6004,Shanghai,0.289105619424
670,Tekirdag,0.620115258764
671,Klagenfurt,0.30440124765
672,Edirne,0.0421198747872
674,Augsburg,0.602072421357
5950,Osaka,0.1627432508
6017,Hamamatsu,0.255284918625
673,Ljubljana,0.0471508991813
677,Udine,0.232683672313
678,Udine,0.162777283718
7928,Lijiang,0.333268130317
7929,Tengchong,0.0471829825666
679,Bellinzona,0.203982574985
680,Mollendo,0.33287704751
681,Pirgos,0.464775593212
7930,Baoshan,0.0538521512147
682,Lijiang,0.210795370219
684,Dali,0.0200273132233
685,Dubrovnik,0.0615526311181
686,Dubrovnik,0.0615526311181
687,Buzau,0.581408348261
7932,Yuxi,0.281598115663
688,Changyon,0.271639295908
689,Lorca,0.527353299009
691,Dali,0.417638442949
5951,Tsu,1.13788458672
690,Valdivia,0.782313702473
695,Almeria,0.098755553921
697,Veracruz,0.241086144314
9881,Kolhapur,1.06320929949
698,Tabriz,0.132839495679
699,Dubrovnik,0.0615526311181
701,Cumana,0.0538495786613
704,Lisbon,0.052914320064
8092,Tongling,0.375691378089
706,Changting,0.106921844884
707,Xichang,0.297308947296
709,Naples,0.28110096271
708,Nezahualcoyotl,0.22137835621
7933,Gejiu,0.41347528253
5952,Punta Gorda,0.325639020998
5953,Cumana,0.350575851526
710,Nezahualcoyotl,0.22137835621
711,Florence,0.294277896318
713,Siracusa,0.0100459174608
716,Cuya,0.384813937225
715,Cumana,0.0538495786613
6037,Shizuoka,0.642087843174
717,Jiexiu,0.256094612925
718,As Salt,0.230569794451
720,Angra do Heroismo,0.0969790503858
721,Birjand,0.631475048197
722,Tabriz,0.31203580531
723,Salerno,0.330641086016
724,Lisbon,0.052914320064
7934,Xingyi,0.773334207856
727,Arequipa,0.294806224224
728,Daegu,0.20673531184
730,Chancay,0.474108067541
729,Pernik,0.29275504588
732,Weinan,0.19992483797
733,Klagenfurt,0.671067883515
734,Istanbul,0.107244994113
735,Istanbul,0.107244994113
736,Quito,0.0988670653921
7940,Kunming,0.549556150575
